%time,field.data
1569683677394308074,-4.395050903
1569683677394489308,-4.374025183
1569683677394505872,1.099687988
1569683677394624943,1.176062554
1569683677394636219,4.613385396
1569683677394781997,4.611977047
1569683677394788877,6.426414133
1569683677394924065,6.428195333
1569683677394931420,6.480166704
1569683677395067546,6.455245024
1569683677395074091,5.699707671
1569683677395189016,5.672164157
1569683677395195618,5.107893607
1569683677395582385,5.108411851
1569683677395588744,2.722965553
1569683677395784469,2.711383843
1569683677395790944,-1.595062768
1569683677396035534,-1.82035971
1569683677396040542,-6.441441819
1569683677396203305,-6.488149853
1569683677396211453,-6.819535394
1569683677396359441,-6.783859969
1569683677396368187,-4.528605199
1569683677396530139,-4.491682079
1569683677396540850,-3.876703948
1569683677396732290,-3.899991217
1569683677396741144,-2.404527978
1569683677396872681,-2.40706301
1569683677396880952,-0.648644701
1569683677397032166,-0.454641833
1569683677397049691,3.043542168
1569683677397169614,3.261467289
1569683677397178281,5.811171165
1569683677397471208,5.816508317
1569683677397482180,6.832885008
1569683677397723169,6.776870047
1569683677397730886,4.970154817
1569683677397910702,4.888047065
1569683677397919105,3.576627139
1569683677398051100,3.466850876
1569683677398058667,1.184418357
1569683677398197362,1.004805975
1569683677398205111,-1.391882717
1569683677398403625,-1.608119354
1569683677398411041,-5.134000511
1569683677398513646,-5.146781572
1569683677398531010,-7.707423902
1569683677398666136,-7.708440212
1569683677398683250,-7.957900142
1569683677398870633,-7.934878467
1569683677398888903,-7.180932513
1569683677399047875,-7.161590965
1569683677399054754,-6.011174137
1569683677399271560,-5.991875513
1569683677399276615,0.414351739
1569683677399426877,0.499059951
1569683677399441331,4.270920715
1569683677399938292,4.283200068
1569683677399945781,5.493055558
1569683677400129894,5.455486084
1569683677400136100,3.235102943
1569683677400273105,3.162784418
1569683677400279166,1.371719749
1569683677400482140,1.368413989
1569683677400487152,0.164866017
1569683677400629174,0.171896838
1569683677400635762,-1.709753428
1569683677400861351,-1.716095422
1569683677400868056,-5.256282397
1569683677401082605,-5.285606515
1569683677401088999,-7.235826322
1569683677401276053,-7.220488712
1569683677401288982,-6.29270138
1569683677401453103,-6.254250896
1569683677401466803,-3.999386554
1569683677401622493,-3.956456406
